tdwg4,island
CRL-MF,1
CRL-PA,1
HAW-OO,1
JAP-OO,1
NUE-OO,1
WAL-OO,1
HON-OO,0
NSW-OO,0
QLD-OO,0
SPA-OO,0
ITA-OO,0
JAP-HN,1
JAP-KY,1
JAP-SH,1
LBS-LB,0
MOR-OO,0
TUR-OO,0
YUG-BH,0
BOR-SB,1
SOL-OO,1
FRA-OO,0
IND-OO,0
WAU-OO,0
PAL-JO,0
NWG-PN,1
JAW-OO,1
COM-OO,1
EHM-BH,0
MYA-OO,0
NWG-IJ,1
TRT-OO,1
AUT-OO,0
BGM-OO,0
YUG-MN,0
YUG-SE,0
MLY-OO,0
VIE-OO,0
UZB-OO,0
LSI-ET,1
NFK-LH,1
OGA-OO,1
NFK-OO,1
SAM-OO,1
CZE-SL,0
PAK-OO,0
ELS-OO,0
GUA-OO,0
YEM-OO,0
SIC-OO,0
UKR-OO,0
TUV-OO,1
CBD-OO,0
VAN-OO,1
RUS-OO,0
HAI-OO,1
NLA-OO,1
GGI-OO,1
LBS-SY,0
BZE-FN,1
IRQ-OO,0
TCI-OO,1
FAL-OO,1
SUM-OO,1
NNS-OO,1
CPI-CO,1
RUN-OO,0
AND-OO,1
IND-DD,0
IND-DM,0
SPA-GI,0
WAK-OO,1
TCS-AZ,0
TKM-OO,0
BOR-SR,1
MOL-OO,1
BOR-BR,1
HAW-MI,1
JAP-HK,1
SUL-OO,1
TOK-TO,1
FRA-MO,0
ITA-SM,0
SPA-AN,0
YUG-OO,0
LSI-OO,1
GST-BA,0
KAZ-OO,0
KUW-OO,0
CHI-OO,0
CZE-OO,0
KRI-OO,1
CHC-OO,0
CHS-OO,0
LSI-LS,1
NWG-OO,1
WHM-OO,0
BIS-OO,1
CHN-OO,0
EHM-OO,0
BOR-OO,1
TUE-OO,0
MXE-OO,0
MXN-OO,0
NCS-OO,0
TCS-OO,0
AMU-OO,0
RUE-OO,0
YAK-OO,0
AND-AN,1
ALD-OO,1
CPP-OO,0
CPV-OO,0
NCB-OO,1
SCS-OO,1
TVL-OO,0
GST-OO,0
MXC-OO,0
MXG-OO,0
MXS-OO,0
PAL-OO,0
SIN-OO,0
SOC-OO,1
AGE-OO,0
AGW-OO,0
CLN-OO,0
CRL-OO,1
GIL-OO,1
HBI-OO,1
KZN-OO,1
MRN-OO,1
LBS-OO,0
MXT-OO,0
LEE-OO,1
VNA-OO,1
WIN-OO,1
AGS-OO,0
CLC-OO,0
CHM-OO,0
KOR-OO,0
PRM-OO,0
BZS-OO,0
BZC-OO,0
BZE-OO,0
BZL-OO,0
BZN-OO,0
SWC-OO,1
EAI-OO,1
KRY-OO,0
SAK-OO,1
BLT-OO,0
KAM-OO,0
LIN-OO,1
MCI-OO,1
TOK-OO,1
CPI-OO,1
SCZ-OO,1
ALU-OO,1
CLS-OO,0
IND-PO,0
CAB-OO,0
MXI-OO,1
ASP-OO,1
MAQ-OO,1
DSV-OO,1
MCS-OO,1
SSA-OO,1
