Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Abarema jupunba,established,"","","","",8,83,BOL,BOL-OO,"","","",""
Abelia chinensis,established,"3,4","36,38,41","CHC,CHS,NNS,TAI,VIE","","7,2","79,26","MXE,MXC,MOZ","MXE-CO,MXC-DF,MXC-ME,MOZ-OO","","","",""
Abelia x grandiflora,established,"","","","","5,7,8","50,78,76,77,83,51","NSW,ALA,ARI,FLA,GEO,MSI,NCA,TEX,ECU,BOL,NZN","NSW-NS,ALA-OO,ARI-OO,FLA-OO,GEO-OO,MSI-OO,NCA-OO,TEX-OO,ECU-OO,BOL-OO,NZN-OO","","","",""
Abelmoschus esculentus,established,4,"40,41","BAN,IND,MYA","","8,2,6,3,4,7","81,22,23,80,24,60,62,38,41,29,79,26,78,75,74,77,27,83","LEE,BEN,WIN,IVO,CMN,ZAI,COS,CAY,ETH,FIJ,MRN,HAI,4,LAO,MDG,MXT,MXS,MXC,MXE,MXN,MXG,MOZ,MTN,NGA,NIC,PUE,GGI,CHA,ALA,CNT,WDC,FLA,ILL,KTY,LOU,MIC,MIN,MSI,NCA,SCA,TEX,VRG,TVL,NAT,ZAM,BOL","LEE-AB,BEN-OO,LEE-SM,WIN-BA,IVO-OO,CMN-OO,ZAI-OO,COS-OO,CAY-OO,ETH-OO,FIJ-OO,MRN-GU,HAI-HA,000-04,LEE-SK,LAO-OO,MDG-OO,MXT-CI,MXS-GR,MXS-JA,MXC-ME,MXS-MI,MXS-OA,MXE-QU,MXT-QR,MXN-SI,MXE-SL,MXT-TB,MXG-VC,MXT-YU,MOZ-OO,MTN-OO,WIN-MA,NGA-OO,NIC-OO,PUE-OO,000-06,CHA-OO,ALA-OO,CNT-OO,WDC-OO,FLA-OO,ILL-OO,KTY-OO,LOU-OO,MIC-OO,MIN-OO,MSI-OO,NCA-OO,SCA-OO,TEX-OO,VRG-OO,LEE-VI,TVL-GA,NAT-OO,ZAM-OO,MXN-BC,MXN-BS,BOL-OO","","","",""
Abelmoschus ficulneus,established,"4,2,5","40,24,42,25,29,26,43,50","BAN,ERI,ETH,IND,JAW,KEN,LSI,MDG,MOZ,NWG,PAK,QLD,SOM,SRL,TAN,UGA,WHM,ZAM",",LSI-LS,QLD-QU",2,"24,25,29,22","ERI,ETH,KEN,MDG,NGR,NGA,SUD,SOM,CHA,TAN,UGA","ERI-OO,ETH-OO,KEN-OO,MDG-OO,NGR-OO,NGA-OO,SUD-OO,SOM-OO,CHA-OO,TAN-OO,UGA-OO","","","",""
Abelmoschus manihot,established,"4,3,5","40,43,36,42,41,50","ASS,BAN,BIS,CHN,CHC,CHS,XMS,EHM,IND,JAW,LAO,LSI,MOL,MYA,NEP,NWG,PAK,PHI,QLD,SUL,SUM,THA,VIE,WHM",",ASS-AS,LSI-LS,QLD-QU","5,2,3,4,7,8","50,23,38,41,79,26,80,29,83","NSW,QLD,CMN,4,LAO,MXS,MXC,MXG,MOZ,PAN,REU,ECU,BOL,PER","NSW-NS,QLD-QU,CMN-OO,000-04,LAO-OO,MXS-NA,MXS-OA,MXC-PU,MXG-VC,MOZ-OO,PAN-OO,REU-OO,ECU-OO,BOL-OO,PER-OO","","","",""
Abelmoschus manihot subsp. tetraphyllus,established,"4,3,5","43,36,40,42,41,50","BIS,CHC,EHM,IND,JAW,LSI,MOL,MYA,NWG,PAK,PHI,QLD,SUL",",LSI-LS,QLD-QU",5,50,QLD,QLD-QU,"","","",""
Abelmoschus manihot var. pungens,established,"4,3","40,36,42,41","ASS,CHC,CHS,XMS,EHM,IND,LAO,LSI,MYA,NEP,PAK,PHI,SUM,THA,VIE,WHM",",ASS-AS,LSI-LS",4,41,LAO,LAO-OO,"","","",""
Abelmoschus moschatus,invasive,"4,3,5","40,42,41,36,43,38,50","ASS,BAN,BOR,CBD,CHC,CHS,CHH,IND,JAW,LAO,LSI,MLY,MOL,MYA,NWG,PHI,SUL,SUM,TAI,THA,VIE,WHM,,AND,SRL,NTA,QLD,WAU",",ASS-AS,LSI-LS,CHS-GD,CHS-GX,CHC-GZ,CHS-HN,CHS-JX,CHC-YN,CHS-HK","6,5,2,8,3,7","60,50,22,81,36,23,80,62,38,79,29,63,83,26,82","SAM,NSW,BEN,LEE,WIN,CHS,CHC,CMN,COS,GAB,GUI,EQG,MRN,4,LBR,MXT,MXS,MXE,MXG,NIC,PUE,GGI,SEY,TON,TAI,HAW,ECU,BOL,PER,WAU,MOZ,VEN","SAM-AS,NSW-NS,BEN-OO,LEE-SM,WIN-BA,CHS-JX,CHS-HN,CHS-GD,CHS-GX,CHC-YN,CMN-OO,COS-OO,WIN-DO,GAB-OO,GUI-OO,EQG-OO,WIN-GR,MRN-GU,000-04,LBR-OO,WIN-SL,MXT-CI,MXS-OA,MXE-QU,MXE-SL,MXT-TB,MXG-VC,MRN-NM,WIN-MA,NIC-OO,PUE-OO,000-06,SEY-OO,TON-OO,TAI-OO,HAW-HI,WIN-SV,SAM-WS,ECU-OO,BOL-OO,PER-OO,WAU-WA,MOZ-OO,VEN-OO","3,4,6","38,42,63,60,61,62","JAP,MLY,HAW,SAM,COO,CRL,FIJ,,MRN,MRS,NWC,NUE,TON,WAL",",MLY-SI,SAM-AS,CRL-MF,MRN-GU,MRN-NM,CRL-PA"
Abies alba,established,1,"13,11,14,12","ALB,AUT,BLR,BUL,COR,CZE,FRA,GER,GRC,HUN,ITA,POL,ROM,SPA,SWI,TUE,UKR,YUG",",AUT-AU,FRA-FR,ITA-IT,SPA-SP,UKR-UK","1,7","10,14,78,11","DEN,BLT,GRB,IRE,NOR,SWE,NCA,GER","DEN-OO,BLT-ES,GRB-OO,IRE-NI,IRE-IR,NOR-OO,SWE-OO,NCA-OO,GER-OO","","","",""
