LEVEL3_COD,MAJORITY
ABT-OO,20
AFG-OO,7
AGE-OO,9
AGS-OO,6
AGW-OO,15
ALA-OO,9
ALB-OO,12
ALD-OO,32
ALG-OO,7
ALT-OO,19
ALU-OO,32
AMU-OO,28
AND-OO,2
ANG-OO,4
ANT-OO,30
ARI-OO,6
ARK-OO,9
ARU-OO,5
ASC-OO,32
ASK-OO,20
ASP-OO,32
ASS-OO,15
ATP-OO,32
AUT-OO,10
AZO-OO,32
BAH-OO,4
BAL-OO,12
BAN-OO,4
BEN-OO,4
BER-OO,1
BGM-OO,10
BIS-OO,1
BKN-OO,5
BLR-OO,19
BLT-OO,19
BLZ-OO,2
BOL-OO,4
BOR-OO,1
BOT-OO,5
BRC-OO,20
BRY-OO,28
BUL-OO,9
BUR-OO,4
BZC-OO,4
BZE-OO,4
BZL-OO,4
BZN-OO,2
BZS-OO,9
CAB-OO,4
CAF-OO,4
CAL-OO,13
CAY-OO,32
CBD-OO,4
CGS-OO,32
CHA-OO,7
CHC-OO,15
CHH-OO,4
CHI-OO,6
CHM-OO,27
CHN-OO,6
CHQ-OO,31
CHS-OO,9
CHT-OO,31
CHX-OO,8
CKI-OO,1
CLC-OO,13
CLM-OO,1
CLN-OO,8
CLS-OO,31
CMN-OO,4
CNT-OO,9
CNY-OO,7
COL-OO,6
COM-OO,1
CON-OO,4
COO-OO,32
COR-OO,13
COS-OO,1
CPI-OO,1
CPP-OO,7
CPV-OO,5
CRL-OO,1
CRZ-OO,32
CTA-OO,28
CTM-OO,32
CUB-OO,4
CVI-OO,32
CYP-OO,12
CZE-OO,10
DEL-OO,9
DEN-OO,10
DJI-OO,7
DOM-OO,1
DSV-OO,9
EAI-OO,12
EAS-OO,32
ECU-OO,1
EGY-OO,7
EHM-OO,16
ELS-OO,4
EQG-OO,2
ERI-OO,7
ETH-OO,4
FAL-OO,11
FIJ-OO,1
FIN-OO,20
FLA-OO,9
FOR-OO,11
FRA-MO,12
FRA-OO,10
FRG-OO,2
GAB-OO,4
GAL-OO,32
GAM-OO,5
GEO-OO,9
GER-OO,10
GGI-OO,2
GHA-OO,4
GIL-OO,32
GNB-OO,4
GNL-OO,30
GRB-OO,10
GRC-OO,12
GST-OO,7
GUA-OO,2
GUI-OO,4
GUY-OO,1
HAI-OO,1
HAW-JI,3
HAW-OO,10
HBI-OO,1
HMD-OO,32
HON-OO,4
HUN-OO,10
ICE-OO,31
IDA-OO,6
ILL-OO,9
IND-OO,4
INI-OO,9
IOW-OO,18
IRE-OO,10
IRK-OO,20
IRN-OO,7
IRQ-OO,7
ITA-OO,12
