Level4_cod,MAJORITY
ABT-OO,20
AFG-OO,7
AGE-BA,9
AGE-CH,9
AGE-CN,9
AGE-CO,15
AGE-DF,9
AGE-ER,9
AGE-FO,9
AGE-LP,6
AGE-MI,9
AGE-SF,9
AGS-CB,6
AGS-NE,13
AGS-RN,6
AGS-SC,6
AGS-TF,31
AGW-CA,31
AGW-JU,31
AGW-LR,5
AGW-ME,6
AGW-SA,15
AGW-SE,15
AGW-SJ,8
AGW-SL,15
AGW-TU,15
ALA-OO,9
ALB-OO,12
ALD-OO,2
ALG-OO,7
ALT-OO,19
ALU-OO,11
AMU-OO,28
AND-AN,2
ANG-OO,4
ANT-OO,30
ARI-OO,6
ARK-OO,9
ARU-OO,5
ASC-OO,6
ASK-OO,20
ASP-OO,10
ASS-AS,15
ASS-MA,15
ASS-ME,15
ASS-MI,15
ASS-NA,15
ASS-TR,15
ATP-OO,21
AUT-AU,10
AUT-LI,10
AZO-OO,12
BAH-OO,4
BAL-OO,12
BAN-OO,4
BEN-OO,4
BGM-BE,10
BGM-LU,10
BIS-OO,1
BKN-OO,5
BLR-OO,19
BLT-ES,19
BLT-KA,10
BLT-LA,19
BLT-LI,19
BLZ-OO,2
BOL-OO,4
BOR-BR,1
BOR-KA,1
BOR-SB,1
BOR-SR,1
BOT-OO,5
BRC-OO,20
BRY-OO,28
BUL-OO,9
BUR-OO,4
BZC-DF,4
BZC-GO,4
BZC-MS,4
BZC-MT,4
BZE-AL,3
BZE-BA,5
BZE-CE,4
BZE-FN,3
BZE-MA,4
BZE-PB,4
BZE-PE,5
BZE-PI,4
BZE-RN,3
BZE-SE,3
BZL-ES,4
BZL-MG,4
BZL-RJ,4
BZL-SP,4
BZN-AC,2
BZN-AM,1
BZN-AP,2
BZN-PA,2
BZN-RM,1
BZN-RO,4
BZN-TO,4
BZS-PR,9
BZS-RS,9
BZS-SC,9
CAB-OO,4
CAF-OO,4
CAL-OO,13
CAY-OO,4
CBD-OO,4
CGS-OO,4
CHA-OO,7
CHC-CQ,9
CHC-GZ,9
CHC-HU,9
CHC-SC,15
CHC-YN,16
CHH-OO,4
CHI-NM,6
CHI-NX,6
CHM-HJ,27
CHM-JL,26
CHM-LN,26
CHN-BJ,6
CHN-GS,8
CHN-HB,6
CHN-SA,6
CHN-SD,15
CHN-SX,6
CHN-TJ,6
CHQ-OO,31
CHS-AH,9
CHS-FJ,9
CHS-GD,9
CHS-GX,15
CHS-HE,15
CHS-HK,15
CHS-HN,9
CHS-JS,9
CHS-JX,9
CHS-KI,9
CHS-MA,15
CHS-MP,9
CHS-SH,9
