Scale,Island,geo,Climate,Codes
L2,Island,All,Arid,21
L2,Island,All,Continental,N/A
L2,Island,All,Polar,90
L2,Island,All,Temperate,"51,63"
L2,Island,All,Tropical,"28,29,42,43,60,61,62,81"
L2,Island,Continental,Arid,N/A
L2,Island,Continental,Continental,N/A
L2,Island,Continental,Polar,N/A
L2,Island,Continental,Temperate,51
L2,Island,Continental,Tropical,"42,43"
L2,Island,Oceanic,Arid,21
L2,Island,Oceanic,Continental,N/A
L2,Island,Oceanic,Polar,90
L2,Island,Oceanic,Temperate,63
L2,Island,Oceanic,Tropical,"28,29,60,61,62,81"
L2,Mainland,,Arid,"20,22,24,27,32,34,35,36,37,50,73,76,77,79"
L2,Mainland,,Continental,"10,14,30,31,71,72,74,75"
L2,Mainland,,Polar,"70,91"
L2,Mainland,,Temperate,"11,12,13,33,38,78,85"
L2,Mainland,,Tropical,"23,25,26,40,41,80,82,83,84"
L2,Both,,Arid,"20,22,24,27,32,34,35,36,37,50,73,76,77,79,21"
L2,Both,,Continental,"10,14,30,31,71,72,74,75"
L2,Both,,Polar,"70,91,90"
L2,Both,,Temperate,"11,12,13,33,38,78,85,51,63"
L2,Both,,Tropical,"23,25,26,40,41,80,82,83,84,28,29,42,43,60,61,62,81"
L3,Island,All,Arid,"ARU,CVI,CNY,MRS,MDR,SEL,ASC,STH,SOC,SCZ,MXI"
L3,Island,All,Continental,"PEI,ATP,KUR,SAK,NFL"
L3,Island,All,Polar,"CRZ,KEG,GNL,HMD,ICE,SVA,SGE,MPE,MAQ,SSA"
L3,Island,All,Temperate,"TAS,JNF,CYP,BAL,COR,FOR,GRB,SAR,CTM,TDC,TAI,KER,GAL,AZO,EAS,NZN,NZS,HAW,JAP,NFK,FAL,NNS,KRI,KZN,EAI,ALU,ASP,DSV,IRE"
L3,Island,All,Tropical,"BAH,BER,CKI,CHH,COO,CUB,XMS,CAY,DOM,FIJ,CGS,LDV,JAM,PHX,SRL,MDG,MAU,NWC,NRU,PHI,PUE,TUA,TUB,SCI,PIT,MRQ,SEY,TON,REU,MDV,ROD,NUE,WAL,SOL,JAW,COM,TRT,OGA,SAM,TUV,VAN,HAI,NLA,GGI,TCI,SUM,AND,WAK,MOL,SUL,LSI,NWG,BIS,BOR,ALD,NCB,SCS,CRL,GIL,HBI,MRN,LEE,VNA,WIN,SWC,LIN,MCI,TOK,CPI,MCS"
L3,Island,Continental,Arid,SOC
L3,Island,Continental,Continental,"PEI,SAK,NFL"
L3,Island,Continental,Polar,"GNL,SVA"
L3,Island,Continental,Temperate,"TAS,CYP,BAL,COR,GRB,SAR,NZN,NZS,JAP,FAL,KRI,EAI,IRE"
L3,Island,Continental,Tropical,"BAH,CHH,SRL,MDG,NWC,SEY,JAW,TRT,TCI,SUM,AND,SUL,LSI,NWG,BIS,BOR,NCB,VNA"
L3,Island,Oceanic,Arid,"ARU,CVI,CNY,MRS,MDR,SEL,ASC,STH,SCZ,MXI"
L3,Island,Oceanic,Continental,"ATP,KUR"
L3,Island,Oceanic,Polar,"CRZ,KEG,HMD,ICE,SGE,MPE,MAQ,SSA"
L3,Island,Oceanic,Temperate,"JNF,FOR,CTM,TDC,TAI,KER,GAL,AZO,EAS,HAW,NFK,NNS,KZN,ALU,ASP,DSV"
L3,Island,Oceanic,Tropical,"BER,CKI,COO,CUB,XMS,CAY,DOM,HAI,FIJ,CGS,LDV,JAM,PHX,MAU,NRU,PHI,PUE,TUA,TUB,SCI,PIT,MRQ,TON,REU,MDV,ROD,NUE,WAL,SOL,COM,OGA,SAM,TUV,VAN,NLA,GGI,WAK,MOL,ALD,SCS,CRL,GIL,HBI,MRN,LEE,WIN,SWC,LIN,MCI,TOK,CPI,MCS"
L3,Mainland,,Arid,"NTA,SOA,BKN,BOT,CHX,DJI,ALG,EGY,ERI,KEN,LBY,MLI,MTN,NAM,NGR,OMA,SAU,SUD,SEN,SOM,SWZ,CHA,TUN,ARI,COL,IDA,MNT,NWM,NEV,UTA,WYO,OFS,ZIM,IRN,MON,AFG,WSA,GAM,QLD,MOR,WAU,UZB,PAK,YEM,IRQ,TKM,KAZ,KUW,CHI,CHN,MXE,MXN,CPP,CPV,TVL,GST,PAL,SIN,CLN,LBS,AGS"
L3,Mainland,,Continental,"BLR,ABT,BRC,LAB,MAN,NBR,NSC,NWT,ONT,QUE,SAS,YUK,FIN,NOR,KHA,RUW,RUC,ALT,IRK,KRA,WSB,BRY,TVA,CTA,SWE,ASK,IOW,MAS,MAI,MIC,MIN,NDA,NEB,NWH,NWY,SDA,VER,WIS,UKR,RUS,RUN,TCS,AMU,RUE,YAK,CHM,KOR,PRM,BLT,KAM"
L3,Mainland,,Polar,"ANT,NUN,CHQ,CHT,KGZ,MAG,TZK,WHM,CLS"
L3,Mainland,,Temperate,"ALB,VIC,BUL,SWI,DEN,GRC,HUN,LES,NET,NEP,POL,POR,ROM,URU,ALA,ARK,CAL,CNT,WDC,DEL,FLA,GEO,ILL,INI,KAN,KTY,LOU,MRY,MSO,MSI,NCA,NWJ,OHI,OKL,ORE,PEN,RHO,SCA,TEN,TEX,VRG,WAS,WVA,NAT,ZAM,PAR,GER,NSW,SPA,ITA,TUR,FRA,MYA,AUT,BGM,SIC,YUG,CZE,CHC,CHS,EHM,TUE,NCS,MXC,AGE,AGW,CLC,BZS,KRY,ASS"
